,price,no. of ratings,average rating,link
0,45.0,7,5,www.lazada.com.my/products/casio-mens-standard-analog-black-resin-band-watch-mq71-2b-mq-71-2b-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i451358363.html
1,38.0,7,5,www.lazada.com.my/products/casio-100-original-100-authentic-mens-watch-casio-watch-men-casio-watch-for-menwatch-for-manwatch-for-men-casio-men-watch-jam-tangan-lelaki-casio-watch-casio-men-mq-24-7e2-analog-watch-simple-design-i910376654.html
2,89.0,0,0,www.lazada.com.my/products/2-years-warranty-casio-mtp-v006d-7b-men-analog-date-day-functioning-classic-white-dial-stainless-steel-strap-original-casual-watch-mtp-v006d-i190959174.html
3,82.9,20,4,www.lazada.com.my/products/casio-mens-analog-mtp-v006d-1b2udf-stainless-steel-band-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i954650830.html
4,93.0,1,5,www.lazada.com.my/products/casio-mens-analog-black-leather-strap-watch-mtpvt01l-1b2-mtp-vt01l-1b2-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i1486350274.html
5,57.0,25,4,www.lazada.com.my/products/casio-original-mw-240-series-analog-unisex-men-watch-watch-for-man-jam-tangan-lelaki-man-watch-watch-for-men-casio-watch-for-men-casio-watch-i660478177.html
6,100.9,0,0,www.lazada.com.my/products/casio-mens-analog-watch-mtp-vt01bl-1b-brown-leather-watch-for-men-i2805939157.html
7,73.0,10,4,www.lazada.com.my/products/casio-original-mtp-v002l-1b-analog-leather-men-watch-mtp-v002l-jam-tangan-lelaki-casio-original-casio-watch-for-men-original-casio-watch-for-man-original-jam-tangan-casio-i635230656.html
8,69.0,0,0,www.lazada.com.my/products/casio-original-mtp-v001gl-series-analog-leather-band-men-watch-i537176187.html
9,90.9,0,5,www.lazada.com.my/products/casio-mens-analog-mtp-1183q-7adf-gold-tone-case-leather-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i454182614.html
10,82.9,31,4,www.lazada.com.my/products/casio-mens-analog-mtp-v006d-2budf-stainless-steel-band-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i954726135.html
11,70.9,12,5,www.lazada.com.my/products/casio-mens-analog-mtp-v004l-2budf-blue-leather-band-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i811702900.html
12,93.9,4,5,www.lazada.com.my/products/casio-mens-analog-mtp-vt01l-3b-army-green-leather-band-watch-for-men-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i954724179.html
13,63.9,10,5,www.lazada.com.my/products/casio-mens-analog-mtp-v001gl-7budf-gold-tone-case-leather-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i435545380.html
14,107.9,3,4,www.lazada.com.my/products/casio-mens-analog-mtp-vd01d-1e2vudf-stainless-steel-band-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i811734573.html
15,215.9,0,0,www.lazada.com.my/products/casio-mens-analog-mtp-b125l-1avdf-black-leather-strap-watch-for-men-i3138471742.html
16,135.9,7,4,www.lazada.com.my/products/casio-mens-analog-mtp-1370d-7a2vdf-stainless-steel-band-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i811710880.html
17,77.0,16,4,www.lazada.com.my/products/casio-original-mtp-v004l-series-analog-leather-men-watch-mtp-v004l-1a-mtp-v004l-7a-watch-for-man-jam-tangan-lelaki-man-watch-watch-for-men-casio-watch-for-men-casio-watch-i559876546.html
18,70.9,26,4,www.lazada.com.my/products/casio-mens-analog-mtp-v004l-1audf-black-leather-band-casual-watch-watch-for-man-jam-tangan-lelaki-casio-watch-for-men-casio-watch-men-watch-i435546377.html
19,68.0,1,5,www.lazada.com.my/products/casio-mens-analog-silver-stainless-steel-band-watch-mtpv005d-2b4-mtp-v005d-2b4-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i2346599295.html
20,57.0,16,4,www.lazada.com.my/products/2-years-warranty-casio-original-mw-240-series-youth-analog-unisex-watch-jam-tangan-lelaki-casio-original-casio-watch-for-men-original-casio-watch-for-man-original-jam-tangan-casio-i428798801.html
21,238.0,0,0,www.lazada.com.my/products/casio-100-original-mtp-e203d-mtp-e203l-day-date-display-fashion-quartz-analog-men-watch-jam-tangan-lelaki-i2834420477.html
22,63.0,0,5,www.lazada.com.my/products/casio-original-mtp-v005l-series-analog-leather-men-watch-mtp-v005l-1b-mtp-v005l-2b-mtp-v005l-7b-mtp-v005l-7b2-mtp-v005l-7b3-i567250588.html
23,131.67,1,5,www.lazada.com.my/products/casio-mens-standard-analog-digital-silver-stainless-steel-band-watch-mtpvc01d-2e-mtp-vc01d-2e-watch-for-man-jam-tangan-lelaki-men-watch-watch-for-men-casio-watch-for-men-casio-watch-i2587371054.html
